"genes"	"logFC"	"p_value"	"q_value"
"13333"	"MESP1"	0.470328	1	1
"13334"	"MESP2"	-797.519	1	1
"13335"	"MEST"	-1.04239	0.6114	0.99948
"13336"	"MESTIT1"	2.37081	1	1
"13337"	"MET"	0.0430426	0.9762	0.99948
"13338"	"METAP1"	0.372238	0.7696	0.99948
"13339"	"METAP1D"	-797.519	1	1
"13340"	"METAP2"	0.182368	0.9231	0.99948
"13341"	"METRN"	3.8211	5e-05	0.00458449
"13342"	"METRNL"	0.276274	0.5754	0.99948
"13343"	"METTL1"	-1.63969	0.4213	0.99948
"13344"	"METTL10"	-0.77174	0.54545	0.99948
"13345"	"METTL11B"	0	1	1
"13346"	"METTL12"	2.28322	0.3845	0.99948
"13347"	"METTL13"	-0.0291093	0.97725	0.99948
"13348"	"METTL14"	-0.25645	0.83215	0.99948
"13349"	"METTL15"	0.0834434	0.9326	0.99948
"13350"	"METTL16"	-0.00908981	0.99295	0.99948
"13351"	"METTL17"	0.246737	0.8377	0.99948
"13352"	"METTL18"	-4.27979	3e-04	0.0171106
"13353"	"METTL20"	1.44546	0.1314	0.835275
"13354"	"METTL21A"	0.172722	0.8844	0.99948
"13355"	"METTL21B"	-1.35711	0.2006	0.95968
"13356"	"METTL21C"	-797.519	1	1
"13357"	"METTL21EP"	-1.84333	1	1
"13358"	"METTL22"	-2.21999	0.0095	0.194114
"13359"	"METTL23"	-0.652982	0.50455	0.99948
"13360"	"METTL24"	-797.519	1	1
"13361"	"METTL25"	0.947632	0.5802	0.99948
"13362"	"METTL2A"	0.583824	0.50315	0.99948
"13363"	"METTL2B"	-1.66796	0.0791	0.690314
"13364"	"METTL3"	0.889199	0.49475	0.99948
"13365"	"METTL4"	-0.623549	0.5876	0.99948
"13366"	"METTL5"	-0.488022	0.7812	0.99948
"13367"	"METTL6"	0.40118	0.6837	0.99948
"13368"	"METTL7A"	-0.911363	0.56435	0.99948
"13369"	"METTL7B"	-1.54651	0.59555	0.99948
"13370"	"METTL8"	-0.0628573	1	1
"13371"	"METTL9"	0.423518	0.7069	0.99948
"13372"	"MEX3A"	-2.38979	1	1
"13373"	"MEX3B"	1.54904	1	1
"13374"	"MEX3C"	0.0686302	0.9621	0.99948
"13375"	"MEX3D"	-0.792769	0.47215	0.99948
"13376"	"MFAP1"	-0.388911	0.5646	0.99948
"13377"	"MFAP2"	0	1	1
"13378"	"MFAP3"	0.575388	0.60625	0.99948
"13379"	"MFAP3L"	0	1	1
"13380"	"MFAP4"	-7.61019	0.2619	0.99948
"13381"	"MFAP5"	0.7686	1	1
"13382"	"MFF"	-0.0806762	0.9294	0.99948
"13383"	"MFGE8"	1.5077	0.21515	0.973457
"13384"	"MFHAS1"	-1.19656	0.32025	0.99948
"13385"	"MFI2"	-1.14167	0.25465	0.996738
"13386"	"MFI2-AS1"	0	1	1
"13387"	"MFN1"	-0.567012	0.6074	0.99948
"13388"	"MFN2"	0.616322	0.3139	0.99948
"13389"	"MFNG"	0.613375	0.5496	0.99948
"13390"	"MFSD1"	0.0277379	0.96295	0.99948
"13391"	"MFSD10"	1.03649	0.34835	0.99948
"13392"	"MFSD11"	1.14065	0.3014	0.99948
"13393"	"MFSD12"	0.625964	0.5793	0.99948
"13394"	"MFSD2A"	0.143106	0.8881	0.99948
"13395"	"MFSD2B"	0	1	1
"13396"	"MFSD3"	-1.81356	0.29865	0.99948
"13397"	"MFSD4"	0.131642	0.93775	0.99948
"13398"	"MFSD5"	-0.97058	0.40825	0.99948
"13399"	"MFSD6"	0.624775	0.8105	0.99948
"13400"	"MFSD6L"	-4.60422	0.0013	0.04829
"13401"	"MFSD7"	0.138023	0.9157	0.99948
"13402"	"MFSD8"	-2.06783	0.165	0.91047
"13403"	"MFSD9"	-0.579038	0.56205	0.99948
"13404"	"MGA"	0.408984	0.4687	0.99948
"13405"	"MGAM"	0.658643	0.74865	0.99948
"13406"	"MGAM2"	0.489016	1	1
"13407"	"MGARP"	0	1	1
"13408"	"MGAT1"	0.0608961	0.93425	0.99948
"13409"	"MGAT2"	0.0232806	0.983	0.99948
"13410"	"MGAT3"	0.252236	0.81835	0.99948
"13411"	"MGAT3-AS1"	0	1	1
"13412"	"MGAT4A"	-1.26003	0.2611	0.99948
"13413"	"MGAT4B"	0.43282	0.68775	0.99948
"13414"	"MGAT4C"	0	1	1
"13415"	"MGAT4D"	0	1	1
"13416"	"MGAT4EP"	3.18144	0.00045	0.0229548
"13417"	"MGAT5"	0.0635586	0.70045	0.99948
"13418"	"MGAT5B"	0	1	1
"13419"	"MGC12916"	2.163	0.2144	0.972452
"13420"	"MGC15885"	0	1	1
"13421"	"MGC16025"	2.31792	0.51555	0.99948
"13422"	"MGC16142"	-0.258317	1	1
"13423"	"MGC16275"	-2.17021	0.01085	0.211269
"13424"	"MGC27345"	-1.11646	0.3123	0.99948
"13425"	"MGC27382"	0	1	1
"13426"	"MGC2889"	2.22042	1	1
"13427"	"MGC32805"	0.363868	1	1
"13428"	"MGC34796"	0.962638	1	1
"13429"	"MGC39584"	0	1	1
"13430"	"MGC45922"	0	1	1
"13431"	"MGC50722"	-0.418834	1	1
"13432"	"MGC57346"	2.62631	0.2006	0.95968
"13433"	"MGC57346-CRHR1"	-4.32599	1	1
"13434"	"MGC70870"	-0.395447	1	1
"13435"	"MGC72080"	-0.452299	0.56495	0.99948
"13436"	"MGEA5"	0.843332	0.1877	0.943561
"13437"	"MGLL"	-0.125355	0.8777	0.99948
"13438"	"MGME1"	1.21543	0.35205	0.99948
"13439"	"MGMT"	1.22766	0.14745	0.871525
"13440"	"MGP"	-6.49303	0.3042	0.99948
"13441"	"MGRN1"	1.06517	0.53655	0.99948
"13442"	"MGST1"	0.619961	0.58495	0.99948
"13443"	"MGST2"	-0.297705	0.8326	0.99948
"13444"	"MGST3"	-0.71779	0.67805	0.99948
"13445"	"MHRT"	0	1	1
"13446"	"MIA"	768.314	1	1
"13447"	"MIA-RAB4B"	17.6161	1	1
"13448"	"MIA2"	-797.519	1	1
"13449"	"MIA3"	0.282119	0.79905	0.99948
"13450"	"MIAT"	0.781872	0.5289	0.99948
"13451"	"MIATNB"	-0.823554	0.8258	0.99948
"13452"	"MIB1"	0.147965	0.79075	0.99948
"13453"	"MIB2"	-0.449139	0.6773	0.99948
"13454"	"MICA"	-1.06841	0.20345	0.960998
"13455"	"MICAL1"	-0.631351	0.60685	0.99948
"13456"	"MICAL2"	0.508476	0.73095	0.99948
"13457"	"MICAL3"	0.399169	0.70755	0.99948
"13458"	"MICALCL"	0.301193	0.7365	0.99948
"13459"	"MICALL1"	0.974802	0.39255	0.99948
"13460"	"MICALL2"	0.414754	0.60535	0.99948
"13461"	"MICB"	-0.511133	0.62585	0.99948
"13462"	"MICU1"	-0.492045	0.8085	0.99948
"13463"	"MICU2"	-0.832391	0.5264	0.99948
"13464"	"MICU3"	0	1	1
"13465"	"MID1"	-2.33783	1	1
"13466"	"MID1IP1"	0.169646	0.8536	0.99948
"13467"	"MID1IP1-AS1"	-2.29218	0.3894	0.99948
"13468"	"MID2"	0.0844008	0.94035	0.99948
"13469"	"MIDN"	-0.21812	0.73315	0.99948
"13470"	"MIEF1"	-0.189006	0.86	0.99948
"13471"	"MIEF2"	-0.0413512	0.9698	0.99948
"13472"	"MIEN1"	0.157661	0.91275	0.99948
"13473"	"MIER1"	-0.0419424	0.9737	0.99948
"13474"	"MIER2"	0.581868	0.55665	0.99948
"13475"	"MIER3"	-1.54761	0.15895	0.898443
"13476"	"MIF"	0.581629	0.6932	0.99948
"13477"	"MIF-AS1"	2.22113	1	1
"13478"	"MIF4GD"	-1.12176	0.39015	0.99948
"13479"	"MIIP"	-0.110359	0.9235	0.99948
"13480"	"MILR1"	-0.965981	0.35635	0.99948
"13481"	"MIMT1"	768.314	1	1
"13482"	"MINA"	-1.30535	0.2847	0.99948
"13483"	"MINK1"	0.452656	0.5416	0.99948
"13484"	"MINOS1"	0.702333	0.5386	0.99948
"13485"	"MINOS1-NBL1"	-1.12027	0.6229	0.99948
"13486"	"MINOS1P1"	-0.31617	0.85665	0.99948
"13487"	"MINPP1"	-3.5724	0.2512	0.994777
"13488"	"MIOS"	0.0918922	0.9458	0.99948
"13489"	"MIOX"	0.542018	0.5157	0.99948
"13490"	"MIP"	2.69041	1	1
"13491"	"MIPEP"	-1.20037	0.4401	0.99948
"13492"	"MIPEPP3"	-797.519	1	1
"13493"	"MIPOL1"	768.314	1	1
"13494"	"MIR1-1"	0	1	1
"13495"	"MIR1-1HG"	-0.337727	0.7437	0.99948
"13496"	"MIR1-2"	0	1	1
"13497"	"MIR100"	0	1	1
"13498"	"MIR100HG"	-3.0808	1	1
"13499"	"MIR101-1"	0	1	1
"13500"	"MIR101-2"	0	1	1
"13501"	"MIR103A1"	0	1	1
"13502"	"MIR103A2"	0	1	1
"13503"	"MIR103B1"	0	1	1
"13504"	"MIR103B2"	0	1	1
"13505"	"MIR105-1"	0	1	1
"13506"	"MIR105-2"	0	1	1
"13507"	"MIR106A"	0	1	1
"13508"	"MIR106B"	0	1	1
"13509"	"MIR107"	0	1	1
"13510"	"MIR10A"	0	1	1
"13511"	"MIR10B"	0	1	1
"13512"	"MIR1178"	0	1	1
"13513"	"MIR1179"	0	1	1
"13514"	"MIR1180"	0	1	1
"13515"	"MIR1181"	0	1	1
"13516"	"MIR1182"	0	1	1
"13517"	"MIR1183"	0	1	1
"13518"	"MIR1184-1"	-797.519	0.20895	0.963111
"13519"	"MIR1184-3"	0	1	1
"13520"	"MIR1185-1"	0	1	1
"13521"	"MIR1185-2"	0	1	1
"13522"	"MIR1193"	0	1	1
"13523"	"MIR1197"	0	1	1
"13524"	"MIR1199"	0	1	1
"13525"	"MIR1200"	0	1	1
"13526"	"MIR1202"	0	1	1
"13527"	"MIR1203"	0	1	1
"13528"	"MIR1204"	0	1	1
"13529"	"MIR1205"	0	1	1
"13530"	"MIR1206"	0	1	1
"13531"	"MIR1207"	0	1	1
"13532"	"MIR1208"	0	1	1
"13533"	"MIR122"	0	1	1
"13534"	"MIR1224"	768.314	1	1
"13535"	"MIR1225"	0	1	1
"13536"	"MIR1226"	0	1	1
"13537"	"MIR1227"	0	1	1
"13538"	"MIR1228"	0	1	1
"13539"	"MIR1229"	-0.861575	1	1
"13540"	"MIR1231"	0	1	1
"13541"	"MIR1233-1"	0	1	1
"13542"	"MIR1233-2"	0	1	1
"13543"	"MIR1234"	0	1	1
"13544"	"MIR1236"	0	1	1
"13545"	"MIR1237"	0	1	1
"13546"	"MIR1238"	0	1	1
"13547"	"MIR124-1"	0	1	1
"13548"	"MIR124-2"	0	1	1
"13549"	"MIR124-2HG"	2.96094	1	1
"13550"	"MIR124-3"	0	1	1
"13551"	"MIR1243"	0	1	1
"13552"	"MIR1244-1"	0.903689	0.3981	0.99948
"13553"	"MIR1244-3"	1.08123	0.328	0.99948
"13554"	"MIR1244-4"	-431.564	1	1
"13555"	"MIR1245A"	0	1	1
"13556"	"MIR1245B"	0	1	1
"13557"	"MIR1246"	0	1	1
"13558"	"MIR1247"	0	1	1
"13559"	"MIR1248"	0	1	1
"13560"	"MIR1249"	768.314	1	1
"13561"	"MIR1250"	0	1	1
"13562"	"MIR1251"	0	1	1
"13563"	"MIR1252"	0	1	1
"13564"	"MIR1253"	0	1	1
"13565"	"MIR1254-1"	0	1	1
"13566"	"MIR1254-2"	0	1	1
"13567"	"MIR1255A"	0	1	1
"13568"	"MIR1255B1"	0	1	1
"13569"	"MIR1255B2"	0	1	1
"13570"	"MIR1256"	0	1	1
"13571"	"MIR1257"	0	1	1
"13572"	"MIR1258"	0	1	1
"13573"	"MIR125A"	-797.519	1	1
"13574"	"MIR125B1"	0	1	1
"13575"	"MIR125B2"	0	1	1
"13576"	"MIR126"	0	1	1
"13577"	"MIR1260A"	0	1	1
"13578"	"MIR1260B"	768.314	0.1193	0.814851
"13579"	"MIR1261"	0	1	1
"13580"	"MIR1262"	0	1	1
"13581"	"MIR1263"	0	1	1
"13582"	"MIR1264"	0	1	1
"13583"	"MIR1265"	0	1	1
"13584"	"MIR1266"	0	1	1
"13585"	"MIR1267"	0	1	1
"13586"	"MIR1268A"	0	1	1
"13587"	"MIR1268B"	0	1	1
"13588"	"MIR1269A"	0	1	1
"13589"	"MIR1269B"	0	1	1
"13590"	"MIR127"	0	1	1
"13591"	"MIR1270"	0	1	1
"13592"	"MIR1271"	0	1	1
"13593"	"MIR1272"	0	1	1
"13594"	"MIR1273A"	7.37381	0.23525	0.987026
"13595"	"MIR1273C"	0	1	1
"13596"	"MIR1273D"	4.48622	0.35905	0.99948
"13597"	"MIR1273E"	1.10148	1	1
"13598"	"MIR1273F"	-0.806616	0.80475	0.99948
"13599"	"MIR1273G"	0	1	1
"13600"	"MIR1273H"	0	1	1
"13601"	"MIR1275"	0	1	1
"13602"	"MIR1276"	0	1	1
"13603"	"MIR1277"	0	1	1
"13604"	"MIR1278"	0	1	1
"13605"	"MIR1279"	0	1	1
"13606"	"MIR128-1"	0	1	1
"13607"	"MIR128-2"	0	1	1
"13608"	"MIR1281"	0	1	1
"13609"	"MIR1282"	-1.1248	1	1
"13610"	"MIR1283-1"	0	1	1
"13611"	"MIR1283-2"	0	1	1
"13612"	"MIR1284"	768.314	1	1
"13613"	"MIR1285-1"	0	1	1
"13614"	"MIR1285-2"	0	1	1
"13615"	"MIR1286"	0	1	1
"13616"	"MIR1287"	0	1	1
"13617"	"MIR1288"	0	1	1
"13618"	"MIR1289-1"	0	1	1
"13619"	"MIR1289-2"	0	1	1
"13620"	"MIR129-1"	0	1	1
"13621"	"MIR129-2"	0	1	1
"13622"	"MIR1290"	0	1	1
"13623"	"MIR1291"	0	1	1
"13624"	"MIR1292"	0	1	1
"13625"	"MIR1293"	0	1	1
"13626"	"MIR1294"	768.314	1	1
"13627"	"MIR1295A"	0	1	1
"13628"	"MIR1295B"	0	1	1
"13629"	"MIR1296"	0	1	1
"13630"	"MIR1297"	0	1	1
"13631"	"MIR1298"	0	1	1
"13632"	"MIR1299"	0	1	1
"13633"	"MIR1301"	0	1	1
"13634"	"MIR1302-1"	0	1	1
"13635"	"MIR1302-11"	0	1	1
"13636"	"MIR1302-2"	0	1	1
"13637"	"MIR1302-3"	0	1	1
"13638"	"MIR1302-4"	0	1	1
"13639"	"MIR1302-5"	0	1	1
"13640"	"MIR1302-6"	0	1	1
"13641"	"MIR1302-7"	0	1	1
"13642"	"MIR1302-8"	0	1	1
"13643"	"MIR1302-9"	0	1	1
"13644"	"MIR1303"	0	1	1
"13645"	"MIR1304"	0	1	1
"13646"	"MIR1305"	0	1	1
"13647"	"MIR1306"	0	1	1
"13648"	"MIR1307"	768.314	1	1
"13649"	"MIR130A"	0	1	1
"13650"	"MIR130B"	0	1	1
"13651"	"MIR132"	0	1	1
"13652"	"MIR1321"	0	1	1
"13653"	"MIR1322"	0	1	1
"13654"	"MIR1323"	0	1	1
"13655"	"MIR1324"	0	1	1
"13656"	"MIR133A1"	0	1	1
"13657"	"MIR133A1HG"	768.314	1	1
"13658"	"MIR133A2"	0	1	1
"13659"	"MIR133B"	0	1	1
"13660"	"MIR134"	0	1	1
"13661"	"MIR1343"	0	1	1
"13662"	"MIR135A1"	0	1	1
"13663"	"MIR135A2"	0	1	1
"13664"	"MIR135B"	0	1	1
"13665"	"MIR136"	0	1	1
"13666"	"MIR137"	0	1	1
"13667"	"MIR137HG"	768.314	1	1
"13668"	"MIR138-1"	0	1	1
"13669"	"MIR138-2"	0	1	1
"13670"	"MIR139"	0	1	1
"13671"	"MIR140"	0	1	1
"13672"	"MIR141"	0	1	1
"13673"	"MIR142"	768.314	1	1
"13674"	"MIR143"	0	1	1
"13675"	"MIR143HG"	0	1	1
"13676"	"MIR144"	0	1	1
"13677"	"MIR145"	0	1	1
"13678"	"MIR1468"	0	1	1
"13679"	"MIR1469"	0	1	1
"13680"	"MIR146A"	0	1	1
"13681"	"MIR146B"	0	1	1
"13682"	"MIR1470"	0	1	1
"13683"	"MIR1471"	0	1	1
"13684"	"MIR147A"	0	1	1
"13685"	"MIR147B"	-797.519	1	1
"13686"	"MIR148A"	0	1	1
"13687"	"MIR148B"	0	1	1
"13688"	"MIR149"	0	1	1
"13689"	"MIR150"	0	1	1
"13690"	"MIR151A"	0	1	1
"13691"	"MIR151B"	0	1	1
"13692"	"MIR152"	0	1	1
"13693"	"MIR153-1"	0	1	1
"13694"	"MIR153-2"	0	1	1
"13695"	"MIR1537"	0	1	1
"13696"	"MIR1538"	0	1	1
"13697"	"MIR1539"	0	1	1
"13698"	"MIR154"	0	1	1
"13699"	"MIR155"	0	1	1
"13700"	"MIR155HG"	-1.51686	0.2435	0.991344
"13701"	"MIR1587"	0	1	1
"13702"	"MIR15A"	0	1	1
"13703"	"MIR15B"	0	1	1
"13704"	"MIR16-1"	0	1	1
"13705"	"MIR16-2"	0	1	1
"13706"	"MIR17"	0	1	1
"13707"	"MIR17HG"	-4.18216	0.0105	0.206396
"13708"	"MIR181A1"	0	1	1
"13709"	"MIR181A1HG"	-4.45671	0.2334	0.986676
"13710"	"MIR181A2"	0	1	1
"13711"	"MIR181A2HG"	5.92406	0.306	0.99948
"13712"	"MIR181B1"	0	1	1
"13713"	"MIR181B2"	0	1	1
"13714"	"MIR181C"	0	1	1
"13715"	"MIR181D"	0	1	1
"13716"	"MIR182"	0	1	1
"13717"	"MIR1825"	0	1	1
"13718"	"MIR1827"	0	1	1
"13719"	"MIR183"	0	1	1
"13720"	"MIR184"	0	1	1
"13721"	"MIR185"	0	1	1
"13722"	"MIR186"	0	1	1
"13723"	"MIR187"	0	1	1
"13724"	"MIR188"	0	1	1
"13725"	"MIR18A"	0	1	1
"13726"	"MIR18B"	0	1	1
"13727"	"MIR1908"	0	1	1
"13728"	"MIR1909"	0	1	1
"13729"	"MIR190A"	0	1	1
"13730"	"MIR190B"	0	1	1
"13731"	"MIR191"	0	1	1
"13732"	"MIR1910"	0	1	1
"13733"	"MIR1911"	0	1	1
"13734"	"MIR1912"	0	1	1
"13735"	"MIR1913"	0	1	1
"13736"	"MIR1914"	0	1	1
"13737"	"MIR1915"	0	1	1
"13738"	"MIR192"	768.314	1	1
"13739"	"MIR193A"	0	1	1
"13740"	"MIR193B"	0	1	1
"13741"	"MIR194-1"	0	1	1
"13742"	"MIR194-2"	0	1	1
"13743"	"MIR195"	0	1	1
"13744"	"MIR196A1"	0	1	1
"13745"	"MIR196A2"	0	1	1
"13746"	"MIR196B"	0	1	1
"13747"	"MIR197"	0	1	1
"13748"	"MIR1972-1"	0	1	1
"13749"	"MIR1972-2"	0	1	1
"13750"	"MIR1973"	0	1	1
"13751"	"MIR1976"	0	1	1
"13752"	"MIR198"	5.85367	1	1
"13753"	"MIR199A1"	0	1	1
"13754"	"MIR199A2"	0	1	1
"13755"	"MIR199B"	0	1	1
"13756"	"MIR19A"	0	1	1
"13757"	"MIR19B1"	0	1	1
"13758"	"MIR19B2"	0	1	1
"13759"	"MIR200A"	0	1	1
"13760"	"MIR200B"	0	1	1
"13761"	"MIR200C"	0	1	1
"13762"	"MIR202"	0	1	1
"13763"	"MIR202HG"	-0.210428	0.863	0.99948
"13764"	"MIR203A"	0	1	1
"13765"	"MIR203B"	0	1	1
"13766"	"MIR204"	0	1	1
"13767"	"MIR205"	0	1	1
"13768"	"MIR2052"	0	1	1
"13769"	"MIR2052HG"	0	1	1
"13770"	"MIR2053"	0	1	1
"13771"	"MIR2054"	0	1	1
"13772"	"MIR205HG"	-1.33471	1	1
"13773"	"MIR206"	0	1	1
"13774"	"MIR208A"	0	1	1
"13775"	"MIR208B"	0	1	1
"13776"	"MIR20A"	0	1	1
"13777"	"MIR20B"	0	1	1
"13778"	"MIR21"	3.65847	1	1
"13779"	"MIR210"	0	1	1
"13780"	"MIR210HG"	0.0184188	0.9862	0.99948
"13781"	"MIR211"	0	1	1
"13782"	"MIR2110"	0	1	1
"13783"	"MIR2113"	0	1	1
"13784"	"MIR2114"	0	1	1
"13785"	"MIR2115"	0	1	1
"13786"	"MIR2116"	0	1	1
"13787"	"MIR2117"	0	1	1
"13788"	"MIR212"	0	1	1
"13789"	"MIR214"	0	1	1
"13790"	"MIR215"	0	1	1
"13791"	"MIR216A"	0	1	1
"13792"	"MIR216B"	0	1	1
"13793"	"MIR217"	0	1	1
"13794"	"MIR217HG"	0	1	1
"13795"	"MIR218-1"	0	1	1
"13796"	"MIR218-2"	0	1	1
"13797"	"MIR219A1"	0	1	1
"13798"	"MIR219A2"	0	1	1
"13799"	"MIR219B"	0	1	1
"13800"	"MIR22"	0	1	1
"13801"	"MIR221"	-797.519	1	1
"13802"	"MIR222"	0	1	1
"13803"	"MIR223"	-2.54078	1	1
"13804"	"MIR224"	0	1	1
"13805"	"MIR2276"	0	1	1
"13806"	"MIR2277"	0	1	1
"13807"	"MIR2278"	0	1	1
"13808"	"MIR22HG"	0.76226	0.5755	0.99948
"13809"	"MIR2355"	0	1	1
"13810"	"MIR2392"	0	1	1
"13811"	"MIR23A"	0	1	1
"13812"	"MIR23B"	0	1	1
"13813"	"MIR23C"	0	1	1
"13814"	"MIR24-1"	0	1	1
"13815"	"MIR24-2"	0	1	1
"13816"	"MIR2467"	0	1	1
"13817"	"MIR25"	0	1	1
"13818"	"MIR2681"	0	1	1
"13819"	"MIR2682"	0	1	1
"13820"	"MIR26A1"	0	1	1
"13821"	"MIR26A2"	0	1	1
"13822"	"MIR26B"	0	1	1
"13823"	"MIR27A"	0	1	1
"13824"	"MIR27B"	0	1	1
"13825"	"MIR28"	0	1	1
"13826"	"MIR2861"	0	1	1
"13827"	"MIR2909"	0	1	1
"13828"	"MIR296"	0	1	1
"13829"	"MIR297"	0	1	1
"13830"	"MIR298"	0	1	1
"13831"	"MIR299"	0	1	1
"13832"	"MIR29A"	0	1	1
"13833"	"MIR29B1"	0	1	1
"13834"	"MIR29B2"	-797.519	1	1
"13835"	"MIR29C"	-797.519	1	1
"13836"	"MIR300"	0	1	1
"13837"	"MIR301A"	0	1	1
"13838"	"MIR301B"	0	1	1
"13839"	"MIR302A"	0	1	1
"13840"	"MIR302B"	0	1	1
"13841"	"MIR302C"	0	1	1
"13842"	"MIR302D"	0	1	1
"13843"	"MIR302E"	0	1	1
"13844"	"MIR302F"	0	1	1
"13845"	"MIR3064"	-1.40076	1	1
"13846"	"MIR3065"	0	1	1
"13847"	"MIR3074"	0	1	1
"13848"	"MIR30A"	0	1	1
"13849"	"MIR30B"	0	1	1
"13850"	"MIR30C1"	0	1	1
"13851"	"MIR30C2"	0	1	1
"13852"	"MIR30D"	0	1	1
"13853"	"MIR30E"	0	1	1
"13854"	"MIR31"	0	1	1
"13855"	"MIR3115"	0	1	1
"13856"	"MIR3116-1"	0	1	1
"13857"	"MIR3116-2"	0	1	1
"13858"	"MIR3117"	0	1	1
"13859"	"MIR3118-1"	0	1	1
"13860"	"MIR3118-3"	0	1	1
"13861"	"MIR3118-4"	0	1	1
"13862"	"MIR3119-1"	0	1	1
"13863"	"MIR3120"	0	1	1
"13864"	"MIR3121"	0	1	1
"13865"	"MIR3122"	0	1	1
"13866"	"MIR3123"	0	1	1
"13867"	"MIR3124"	0	1	1
"13868"	"MIR3125"	0	1	1
"13869"	"MIR3126"	0	1	1
"13870"	"MIR3127"	0	1	1
"13871"	"MIR3128"	0	1	1
"13872"	"MIR3129"	0	1	1
"13873"	"MIR3130-2"	0	1	1
"13874"	"MIR3131"	0	1	1
"13875"	"MIR3132"	0	1	1
"13876"	"MIR3133"	0	1	1
"13877"	"MIR3134"	0	1	1
"13878"	"MIR3135A"	0	1	1
"13879"	"MIR3135B"	0	1	1
"13880"	"MIR3136"	0	1	1
"13881"	"MIR3137"	0	1	1
"13882"	"MIR3138"	0	1	1
"13883"	"MIR3139"	0	1	1
"13884"	"MIR3140"	0	1	1
"13885"	"MIR3141"	0	1	1
"13886"	"MIR3142"	0	1	1
"13887"	"MIR3143"	0	1	1
"13888"	"MIR3144"	0	1	1
"13889"	"MIR3145"	0	1	1
"13890"	"MIR3146"	0	1	1
"13891"	"MIR3147"	0	1	1
"13892"	"MIR3148"	0	1	1
"13893"	"MIR3149"	0	1	1
"13894"	"MIR3150A"	0	1	1
"13895"	"MIR3150B"	0	1	1
"13896"	"MIR3151"	0	1	1
"13897"	"MIR3152"	0	1	1
"13898"	"MIR3153"	0	1	1
"13899"	"MIR3154"	0	1	1
"13900"	"MIR3155A"	0	1	1
"13901"	"MIR3155B"	0	1	1
"13902"	"MIR3156-1"	0	1	1
"13903"	"MIR3156-2"	0	1	1
"13904"	"MIR3156-3"	0	1	1
"13905"	"MIR3157"	0	1	1
"13906"	"MIR3158-1"	0	1	1
"13907"	"MIR3159"	0	1	1
"13908"	"MIR3160-1"	0	1	1
"13909"	"MIR3160-2"	0	1	1
"13910"	"MIR3161"	0	1	1
"13911"	"MIR3162"	0	1	1
"13912"	"MIR3163"	0	1	1
"13913"	"MIR3164"	0	1	1
"13914"	"MIR3165"	0	1	1
"13915"	"MIR3166"	0	1	1
"13916"	"MIR3167"	0	1	1
"13917"	"MIR3168"	0	1	1
"13918"	"MIR3169"	0	1	1
"13919"	"MIR3170"	0	1	1
"13920"	"MIR3171"	0	1	1
"13921"	"MIR3173"	0	1	1
"13922"	"MIR3174"	-797.519	1	1
"13923"	"MIR3175"	768.314	1	1
"13924"	"MIR3176"	0	1	1
"13925"	"MIR3177"	0	1	1
"13926"	"MIR3178"	-797.519	5e-05	0.00458449
"13927"	"MIR3179-1"	0	1	1
"13928"	"MIR3179-2"	0	1	1
"13929"	"MIR3179-3"	0	1	1
"13930"	"MIR3180-1"	0	1	1
"13931"	"MIR3180-2"	0	1	1
"13932"	"MIR3180-3"	0	1	1
"13933"	"MIR3180-4"	0	1	1
"13934"	"MIR3180-5"	0	1	1
"13935"	"MIR3181"	0	1	1
"13936"	"MIR3182"	0	1	1
"13937"	"MIR3183"	0	1	1
"13938"	"MIR3184"	0	1	1
"13939"	"MIR3185"	0	1	1
"13940"	"MIR3186"	0	1	1
"13941"	"MIR3187"	0	1	1
"13942"	"MIR3188"	0	1	1
"13943"	"MIR3189"	768.314	1	1
"13944"	"MIR3190"	0	1	1
"13945"	"MIR3191"	-797.519	1	1
"13946"	"MIR3192"	0	1	1
"13947"	"MIR3193"	0	1	1
"13948"	"MIR3194"	0	1	1
"13949"	"MIR3195"	0	1	1
"13950"	"MIR3196"	0	1	1
"13951"	"MIR3197"	0	1	1
"13952"	"MIR3198-1"	0	1	1
"13953"	"MIR3198-2"	0	1	1
"13954"	"MIR3199-1"	0	1	1
"13955"	"MIR3199-2"	0	1	1
"13956"	"MIR31HG"	768.314	1	1
"13957"	"MIR32"	0	1	1
"13958"	"MIR3200"	0	1	1
"13959"	"MIR3201"	0	1	1
"13960"	"MIR3202-1"	0	1	1
"13961"	"MIR3202-2"	0	1	1
"13962"	"MIR320A"	0	1	1
"13963"	"MIR320B1"	0	1	1
"13964"	"MIR320B2"	0	1	1
"13965"	"MIR320C1"	0	1	1
"13966"	"MIR320C2"	0	1	1
"13967"	"MIR320D1"	0	1	1
"13968"	"MIR320D2"	0	1	1
"13969"	"MIR320E"	0	1	1
"13970"	"MIR323A"	0	1	1
"13971"	"MIR323B"	0	1	1
"13972"	"MIR324"	0	1	1
"13973"	"MIR325"	0	1	1
"13974"	"MIR325HG"	0	1	1
"13975"	"MIR326"	0	1	1
"13976"	"MIR328"	0	1	1
"13977"	"MIR329-1"	0	1	1
"13978"	"MIR329-2"	0	1	1
"13979"	"MIR330"	0	1	1
"13980"	"MIR331"	0	1	1
"13981"	"MIR335"	0	1	1
"13982"	"MIR337"	0	1	1
"13983"	"MIR338"	0	1	1
"13984"	"MIR339"	0	1	1
